esp	mapu
salir	tripa
decir	pi
entrar	kon
tomar mate	matetu
conversar	nütramka
subir	püra
ir	amu
tomar sopa	korütu
caminar	treka
estar	müle
estudiar	chillkatu
trabajar	küdaw
lavar loza	kücha
despertarse	trepe
comer pan	kofketu
barrer	lepün
bañarse	müñetu
hablar	dungu
escuchar	allkütu
comprar	ngilla
comer	inyafütu
llamarse	pinge
tener	nie
saludar	chalinwa
nacer	choyünge
provenir	tuw
defender	ingka
pescar	challwa
comer pescado	challwatu
cantar	üllkantu
estar casado	kurenge
estar casada	fütange
escribir	wiringe
